,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
ygbI,303.204687575105,-1.03998929032516,0.150639253950004,-6.90383988937122,5.06153462528211e-12,1.56660669255683e-10,1.38726489307074e-10,-0.977962624663518
sbcC,165.336344158395,-1.43214604710211,0.20785879705823,-6.88999487811384,5.57943967819736e-12,1.68880277890202e-10,1.49308254439216e-10,-1.30217300306507
ycjR,74.7163914411938,-2.14608230976345,0.311416381959467,-6.89135971672413,5.52616011916215e-12,1.68880277890202e-10,1.49308254439216e-10,-1.93416781033932
uvrD,168.502592919002,1.37447942308798,0.199496539287988,6.88974068419213,5.58941818076319e-12,1.68880277890202e-10,1.49308254439216e-10,1.25527672322923
fau,198.112968125122,-1.28982815415915,0.187703856004098,-6.87161245174947,6.34802207918352e-12,1.90290709098044e-10,1.68309310313864e-10,-1.18563195708935
xdhA,1032.22656705441,-0.598838678140051,0.087835020830592,-6.81776667754237,9.24666547694435e-12,2.75016058365056e-10,2.43247625320535e-10,-0.584205703620455
rlmM,322.119438484665,-0.968246368224955,0.142648685991556,-6.78762907274359,1.13991264736068e-11,3.36406778953652e-10,2.97546807298012e-10,-0.914678252737447
yfjU,195.414816219493,-1.28443638993246,0.190506786332034,-6.74220805810991,1.55997475136331e-11,4.56832606033855e-10,3.37194542410069e-10,-1.17741534555721
yhfX,139.680700724555,-1.4403297973734,0.215073629792517,-6.69691490659682,2.12865486255566e-11,6.09307448251833e-10,4.56604592655068e-10,-1.30147527703374
ygaH,306.67241617629,-0.972697193321495,0.145036049964569,-6.70658911049435,1.99226207493798e-11,5.78972650327395e-10,5.08809055129882e-10,-0.917248562203257
aslA,267.901708996449,1.05530591675598,0.157435296682634,6.70310876272754,2.04031482872804e-11,5.88445344921792e-10,5.16557864181359e-10,0.98728546021011
yfeS,55.7577489161138,-2.37179713236035,0.356646111776226,-6.65028176123371,2.92532461455586e-11,8.31097821463742e-10,6.13444937828504e-10,-2.15346319655584
hydN,225.089098828933,-1.12472980497958,0.170382224417341,-6.60121564221758,4.07799857947860e-11,1.14999559941297e-09,8.4882785246925e-10,-1.04297165199906
waaG,39.3517170883029,5.16935352209182,0.788518157533713,6.55578247970885,5.53508641376087e-11,1.54941720420497e-09,1.14364653107853e-09,4.69905663125557
ubiI,62.7122305032505,-2.18826755689748,0.335160076436675,-6.52902213223756,6.62004695030991e-11,1.82626947390071e-09,1.35783444747232e-09,-1.94788082205507
ypjI,160.486942925697,-1.31945218024727,0.201353645940543,-6.5529093058334,5.64267895870376e-11,1.56800575151717e-09,1.37623948987992e-09,-1.19950164951074
hypA,245.061059679864,-1.08125203963175,0.166705567420321,-6.48599837644022,8.81461150360098e-11,2.41418892044669e-09,2.13781771167465e-09,-1.00441230262342
allD,105.151033749276,-1.61366203778817,0.248902291662079,-6.48311442619802,8.98483019003794e-11,2.44323203810532e-09,2.16100250621468e-09,-1.42978604432178
mpl,109.245663441914,1.61050202723061,0.248710659162019,6.47540412082406,9.45585162684271e-11,2.55307993924753e-09,2.26988223643458e-09,1.42684014754188
ygeY,549.82118275203,-0.738488475493438,0.114677827555843,-6.43967967682179,1.19725907473947e-10,3.20983471657265e-09,2.83905120711641e-09,-0.709379398194774
csdE,213.407577196553,-1.1055923792908,0.172389275107769,-6.41334780600265,1.42358229069665e-10,3.78991453194555e-09,3.35212320161985e-09,-1.02274181838992
hdfR,68.4603082485819,2.06565301790043,0.32305061687592,6.39420855430166,1.61381040172287e-10,4.26651124955483e-09,3.79325298359719e-09,1.81401631559111
ydhX,30.1140663422707,-4.26339705299635,0.668911789020713,-6.37363120664679,1.8460420054605e-10,4.84681511364698e-09,4.28510370333908e-09,-3.95396675480668
ygeX,472.838213284559,-0.78803133684015,0.126018992533926,-6.2532743755113,4.0193508257614e-10,1.04805949271737e-08,9.28079872889729e-09,-0.751373488678924
mtr,181.376268787162,-1.19511539383499,0.191340191429707,-6.24602382230835,4.21032988407474e-10,1.09038951487568e-08,9.64021122885402e-09,-1.0903224154668
